,sentID.BTEC,split,lang,sent,sent_kuwaiti_GPT_Translated,sent_kuwaiti,Type (B/H),Translator Initials,sent_kuwaiti_punctuation_removed,sent_punctuation_removed,sent_kuwaiti_punctuation_removed_and_tashkeel,sent_punctuation_removed_and_tashkeel,sent_kuwaiti_punctuation_removed_and_tashkeel_and_normlaized,sent_punctuation_removed_and_tashkeel_and_normlaized
776,1251,corpus-6-train,MSA,أنا حزين لسماع ذلك . هل عندك حمى ؟,أنا زعلان إني أسمع هالشي. عندك حمى؟,أنا زعلان إني أسمع هالشي. عندك ضخونه؟,H,H,أنا زعلان إني أسمع هالشي عندك ضخونه,أنا حزين لسماع ذلك  هل عندك حمى ,أنا زعلان إني أسمع هالشي عندك ضخونه,أنا حزين لسماع ذلك  هل عندك حمى ,انا زعلان اني اسمع هالشي عندك ضخونه,انا حزين لسماع ذلك  هل عندك حما 
777,1254,corpus-6-train,MSA,أين يمكنني أن أركب الأوتوبيس المتوجه إلى متحف ميتروبوليتان ؟,وين أقدر أركب الباص اللي يوديني لمتحف متروبوليتان؟,وين أقدر أركب الباص اللي يوديني للمتحف العلمي؟,H,H,وين أقدر أركب الباص اللي يوديني للمتحف العلمي,أين يمكنني أن أركب الأوتوبيس المتوجه إلى متحف ميتروبوليتان ,وين أقدر أركب الباص اللي يوديني للمتحف العلمي,أين يمكنني أن أركب الأوتوبيس المتوجه إلى متحف ميتروبوليتان ,وين اقدر اركب الباص اللي يوديني للمتحف العلمي,اين يمكنني ان اركب الاوتوبيس المتوجه الا متحف ميتروبوليتان 
778,1256,corpus-6-train,MSA,أنا شعرت بالسعادة حقيقة وأنا معك .,أنا حسيت بالسعادة صج وأنا وياك.,أنا حسيت بالسعادة صج وأنا وياك.,H,H,أنا حسيت بالسعادة صج وأنا وياك,أنا شعرت بالسعادة حقيقة وأنا معك ,أنا حسيت بالسعادة صج وأنا وياك,أنا شعرت بالسعادة حقيقة وأنا معك ,انا حسيت بالسعاده صج وانا وياك,انا شعرت بالسعاده حقيقه وانا معك 
779,1257,corpus-6-train,MSA,أين أقرب مكتبة ؟,وين أقرب مكتبة؟,وين أقرب مكتبة؟,H,H,وين أقرب مكتبة,أين أقرب مكتبة ,وين أقرب مكتبة,أين أقرب مكتبة ,وين اقرب مكتبه,اين اقرب مكتبه 
780,1259,corpus-6-train,MSA,هل لديك أي غرف متاحة الليلة ؟,عندكم غرف فاضية الليلة؟,عندكم غرف فاضية الليلة؟,H,H,عندكم غرف فاضية الليلة,هل لديك أي غرف متاحة الليلة ,عندكم غرف فاضية الليلة,هل لديك أي غرف متاحة الليلة ,عندكم غرف فاضيه الليله,هل لديك اي غرف متاحه الليله 
781,1260,corpus-6-train,MSA,هل ستصرف هذا الشيك السياحي البالغ مئة دولار من فضلك ؟,ممكن تصرف هالشيك السياحي اللي قيمته مية دولار لو سمحت؟,ممكن تصرف هالشيك السياحي اللي قيمته امية دولار لو سمحت؟,H,H,ممكن تصرف هالشيك السياحي اللي قيمته امية دولار لو سمحت,هل ستصرف هذا الشيك السياحي البالغ مئة دولار من فضلك ,ممكن تصرف هالشيك السياحي اللي قيمته امية دولار لو سمحت,هل ستصرف هذا الشيك السياحي البالغ مئة دولار من فضلك ,ممكن تصرف هالشيك السياحي اللي قيمته اميه دولار لو سمحت,هل ستصرف هذا الشيك السياحي البالغ مءه دولار من فضلك 
782,1263,corpus-6-train,MSA,وصلت طيارتنا أخيراًُ إلى هونولولو .,طيارتنا أخيراً وصلت هونولولو.,طيارتنا أخيراً وصلت الشداديه.,H,H,طيارتنا أخيرا وصلت الشداديه,وصلت طيارتنا أخيرا إلى هونولولو ,طيارتنا أخيرا وصلت الشداديه,وصلت طيارتنا أخيرا إلى هونولولو ,طيارتنا اخيرا وصلت الشداديه,وصلت طيارتنا اخيرا الا هونولولو 
783,1270,corpus-6-train,MSA,أريد هذا النوع من فضلك .,أبي هالنوع لو سمحت.,أبي هذا النوع لو سمحت.,H,H,أبي هذا النوع لو سمحت,أريد هذا النوع من فضلك ,أبي هذا النوع لو سمحت,أريد هذا النوع من فضلك ,ابي هذا النوع لو سمحت,اريد هذا النوع من فضلك 
784,1274,corpus-6-train,MSA,"افضل أن لا ادخل المستشفى , لو أمكن .",أفضل ما أدش المستشفى، لو ممكن.,أفضل ما أدش المستشفى، لو ممكن.,H,H,أفضل ما أدش المستشفى لو ممكن,افضل أن لا ادخل المستشفى  لو أمكن ,أفضل ما أدش المستشفى لو ممكن,افضل أن لا ادخل المستشفى  لو أمكن ,افضل ما ادش المستشفا لو ممكن,افضل ان لا ادخل المستشفا  لو امكن 
785,1276,corpus-6-test-corpus-26-train,MSA,كم عمر ابنتك ؟,كم عمر بنتك؟,كم عمر بنتج؟,H,H,كم عمر بنتج,كم عمر ابنتك ,كم عمر بنتج,كم عمر ابنتك ,كم عمر بنتج,كم عمر ابنتك 
786,1277,corpus-6-dev,MSA,"إنها الرحلة رقم سبعة صفر ثلاثة المتجهة إلى طوكيو في الرابع من سبتمبر , الجمعة .",هاذي الرحلة رقم سبعة صفر ثلاثة اللي متجهة لطوكيو بتاريخ أربعة سبتمبر، يوم الجمعة.,هاذي الرحلة رقم سبعة صفر ثلاثة اللي متجهة لطوكيو بتاريخ أربعة سبتمبر، يوم الجمعة.,H,H,هاذي الرحلة رقم سبعة صفر ثلاثة اللي متجهة لطوكيو بتاريخ أربعة سبتمبر يوم الجمعة,إنها الرحلة رقم سبعة صفر ثلاثة المتجهة إلى طوكيو في الرابع من سبتمبر  الجمعة ,هاذي الرحلة رقم سبعة صفر ثلاثة اللي متجهة لطوكيو بتاريخ أربعة سبتمبر يوم الجمعة,إنها الرحلة رقم سبعة صفر ثلاثة المتجهة إلى طوكيو في الرابع من سبتمبر  الجمعة ,هاذي الرحله رقم سبعه صفر ثلاثه اللي متجهه لطوكيو بتاريخ اربعه سبتمبر يوم الجمعه,انها الرحله رقم سبعه صفر ثلاثه المتجهه الا طوكيو في الرابع من سبتمبر  الجمعه 
787,1278,corpus-6-train,MSA,أين أضع متعلقاتي ؟,وين أحط أغراضي؟,وين أحط أغراضي؟,H,H,وين أحط أغراضي,أين أضع متعلقاتي ,وين أحط أغراضي,أين أضع متعلقاتي ,وين احط اغراضي,اين اضع متعلقاتي 
788,1280,corpus-6-train,MSA,"بهذا السعر , اعتقد إنني سوف ابحث عن محلات أخري .",بهالسعر، أعتقد إني بدوّر على محلات ثانية.,بهالسعر، أعتقد إني بدوّر على محلات ثانية.,H,H,بهالسعر أعتقد إني بدور على محلات ثانية,بهذا السعر  اعتقد إنني سوف ابحث عن محلات أخري ,بهالسعر أعتقد إني بدور على محلات ثانية,بهذا السعر  اعتقد إنني سوف ابحث عن محلات أخري ,بهالسعر اعتقد اني بدور علا محلات ثانيه,بهذا السعر  اعتقد انني سوف ابحث عن محلات اخري 
789,1281,corpus-6-train,MSA,من فضلك اغلق جميع الأجهزة الإلكترونية .,لو سمحت طفي كل الأجهزة الإلكترونية.,لو سمحت طفي كل الأجهزة الإلكترونية.,H,H,لو سمحت طفي كل الأجهزة الإلكترونية,من فضلك اغلق جميع الأجهزة الإلكترونية ,لو سمحت طفي كل الأجهزة الإلكترونية,من فضلك اغلق جميع الأجهزة الإلكترونية ,لو سمحت طفي كل الاجهزه الالكترونيه,من فضلك اغلق جميع الاجهزه الالكترونيه 
790,1283,corpus-6-train,MSA,كم تريد أن تصرف ؟,كم تبي تصرف؟,جم تبي تصرف؟,H,H,جم تبي تصرف,كم تريد أن تصرف ,جم تبي تصرف,كم تريد أن تصرف ,جم تبي تصرف,كم تريد ان تصرف 
791,1284,corpus-6-train,MSA,ليس ضرورياً بعد توقف الألم .,مو ضروري بعد ما يوقف الألم.,مو ضروري بعد ما يوقف الألم.,H,H,مو ضروري بعد ما يوقف الألم,ليس ضروريا بعد توقف الألم ,مو ضروري بعد ما يوقف الألم,ليس ضروريا بعد توقف الألم ,مو ضروري بعد ما يوقف الالم,ليس ضروريا بعد توقف الالم 
792,1285,corpus-6-train,MSA,لماذا تستيقظ مبكراًُ كل صباح ؟,ليش تقوم من النوم بدري كل صبح؟,ليش تقوم من النوم مبجر من الصبح؟,H,H,ليش تقوم من النوم مبجر من الصبح,لماذا تستيقظ مبكرا كل صباح ,ليش تقوم من النوم مبجر من الصبح,لماذا تستيقظ مبكرا كل صباح ,ليش تقوم من النوم مبجر من الصبح,لماذا تستيقظ مبكرا كل صباح 
793,1286,corpus-6-dev,MSA,ابحث عن معجون .,دور على معجون.,ادور على معجون.,H,H,ادور على معجون,ابحث عن معجون ,ادور على معجون,ابحث عن معجون ,ادور علا معجون,ابحث عن معجون 
794,1287,corpus-6-train,MSA,كم من المشاهدين يستوعب هذا الإستاد ؟,كم واحد يقدر يستوعب هالستاد؟,جم واحد يقدر يستوعب هالاستاد؟,H,H,جم واحد يقدر يستوعب هالاستاد,كم من المشاهدين يستوعب هذا الإستاد ,جم واحد يقدر يستوعب هالاستاد,كم من المشاهدين يستوعب هذا الإستاد ,جم واحد يقدر يستوعب هالاستاد,كم من المشاهدين يستوعب هذا الاستاد 
795,1288,corpus-6-train,MSA,"نعم , ذلك صحيح .",اي، هالشي صحيح.,إي، هالشي صحيح.,H,H,إي هالشي صحيح,نعم  ذلك صحيح ,إي هالشي صحيح,نعم  ذلك صحيح ,اي هالشي صحيح,نعم  ذلك صحيح 
796,1289,corpus-6-train,MSA,تجليد كتابي مفكوك .,تجليد كتابي مفكوك.,تجليد كتابي متفجج.,H,H,تجليد كتابي متفجج,تجليد كتابي مفكوك ,تجليد كتابي متفجج,تجليد كتابي مفكوك ,تجليد كتابي متفجج,تجليد كتابي مفكوك 
797,1290,corpus-6-train,MSA,نريد أن نلعب تنس اليوم .,نبي نلعب تنس اليوم.,نبي نلعب تنس اليوم.,H,H,نبي نلعب تنس اليوم,نريد أن نلعب تنس اليوم ,نبي نلعب تنس اليوم,نريد أن نلعب تنس اليوم ,نبي نلعب تنس اليوم,نريد ان نلعب تنس اليوم 
798,1291,corpus-6-train,MSA,هل من الممكن أن تأتي معي من فضلك ؟,ممكن تيي معاي لو سمحت؟,ممكن اتيي معاي لو سمحت؟,H,H,ممكن اتيي معاي لو سمحت,هل من الممكن أن تأتي معي من فضلك ,ممكن اتيي معاي لو سمحت,هل من الممكن أن تأتي معي من فضلك ,ممكن اتيي معاي لو سمحت,هل من الممكن ان تاتي معي من فضلك 
799,1292,corpus-6-train,MSA,"أسف , لا اعرف هذه البقعة من المدينة .",آسف، ما أعرف هالمكان من المدينة.,آسف، ما أعرف هالمكان في الديره.,H,H,آسف ما أعرف هالمكان في الديره,أسف  لا اعرف هذه البقعة من المدينة ,آسف ما أعرف هالمكان في الديره,أسف  لا اعرف هذه البقعة من المدينة ,اسف ما اعرف هالمكان في الديره,اسف  لا اعرف هذه البقعه من المدينه 
800,1293,corpus-6-train,MSA,سأتصل به مرة أخري الرابعة بعد الظهر .,بتصل فيه مرة ثانية الساعة أربع العصر.,راح اتصل فيه مرة ثانية الساعة أربع العصر.,H,H,راح اتصل فيه مرة ثانية الساعة أربع العصر,سأتصل به مرة أخري الرابعة بعد الظهر ,راح اتصل فيه مرة ثانية الساعة أربع العصر,سأتصل به مرة أخري الرابعة بعد الظهر ,راح اتصل فيه مره ثانيه الساعه اربع العصر,ساتصل به مره اخري الرابعه بعد الظهر 
